,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-01-01,122268.19385869504,186449.09091274286,105939.09986666543,150532.3425932762,167433.04775332272,111018.27853243868,113111.64585932776,191582.67910587962,133988.25958586892,171952.71447373,174451.45500048518,124828.38103841286,162495.67733393217,151471.2006157366,193296.34010584804,130320.87727702736,167129.7729985452,122111.71099473404,,122865.60652376871,103021.41690253552,150348.95428658277,96695.08105911528,111719.10173144798,126625.2225839734,113587.62038496188,108243.2122266162,148577.7074691091,,128701.71004806944,136697.94385745956,104515.27510838232,97864.20671581819,116832.53937846493,86370.85707814086,84646.9431733559,95605.63863010964,72199.77873277818,120253.80275386167,,159708.39178638792,84366.29658573396,94511.43192568295,86000.75830506854,144664.05090597307,,79848.72901330286,106141.5012764638,112363.74758445927,88148.69549859183,103304.5885613264
2000-02-01,122584.57896570119,187075.80195884663,106168.57381852127,151068.38560237948,167884.388497163,111078.60873269879,113173.94505341494,192222.30994128538,134230.9517145258,172340.57776443352,175070.88349377026,124928.41937234261,163027.16555637552,151490.13498355323,193206.9093525617,130763.59771151212,167221.34059958416,122389.00557403427,,123279.17667164188,103220.13590903954,150328.1012605546,96901.90451462448,111965.73250711817,126817.86649182794,113777.81990621949,108333.50965673412,148904.4456350286,,129287.0344131248,136853.20384244318,104862.9993457408,98034.6235233545,116798.63106523734,86486.28761154567,84600.52012577982,95474.18308337775,72196.68819463623,120180.90305133749,,160316.83923298772,84409.85449048129,94622.2066058584,86017.64041638162,144889.1149687915,,79881.66681665805,105915.98565217534,112543.36567947757,88317.14351712177,103367.71703594687
2000-03-01,122920.02144757251,187922.01533478303,106446.74198966373,151584.41344383635,168315.04708064263,111107.8698249786,113402.0266930532,192983.36970159772,134543.3009418376,172736.2328531424,175755.4160611662,125144.65671968072,163781.29253837603,151724.571420401,193503.5802452631,131292.09921790008,167365.1015226587,122708.95720882776,,123663.95594473202,103374.55727958253,150434.6282031495,97096.26300628572,112166.69916210254,127016.28584889136,114076.52165134472,108425.60313933126,149202.94386553564,,129901.72127931933,137008.38262699393,105173.47268508561,98148.80610001071,116929.3350934809,86617.25327272789,84598.50053859672,95326.53740391771,72220.02538772451,120227.09148026463,,160952.15950018048,84489.10631551816,94788.05428358202,86117.10029240999,145169.33998535233,,80035.20047070364,105600.39322202129,112709.8386185725,88476.16550754903,103463.45471414895
2000-04-01,123553.8961761351,189758.89225799052,107012.1863353133,152694.24904995642,169269.18492383676,111253.09522072769,113856.36442221708,194482.33651350345,135181.1000622992,173534.76597154557,177286.00627275984,125653.35222632835,165398.29596524723,152261.82405795786,194018.20659599025,132085.4532392541,167725.80016743523,123382.59584106928,,124567.17806802418,103722.69158158863,150691.6808674045,97492.33607922464,112627.385724271,127446.69248105877,114663.4529649039,108647.17278257264,149829.32264320078,,131116.2422226117,137190.37107132285,105857.46332800377,98404.60926025343,117117.03857280679,86896.88612302208,84659.52650930425,94877.71049708345,72279.0932071327,120322.98900726829,,162028.51714892223,84686.05435072504,95167.14485043217,86265.78588478979,145810.20824966987,,80314.77720550388,105175.00847388462,112968.2551343454,88819.64865596227,103744.97597658155
2000-05-01,124165.83279453455,191893.9849720735,107621.95712900876,153842.53217118085,170241.85343503914,111347.1454644588,114526.37997359176,196104.89426670814,135904.054385994,174406.31466169236,178994.41030997058,126256.935346345,167192.87053384108,152946.42752873735,195026.31606499176,132953.82469910957,169032.98974241145,124125.59242089558,,125558.03127902882,104091.53633686784,151229.5985281006,97899.20229710407,113057.5084399251,127926.18938606231,115339.36270193296,108902.76080085519,150387.9192568465,,132326.45764819515,137464.34041518366,106501.78606104905,98689.91612066039,117491.52184806601,87172.69089305853,84956.49002907284,94660.84706404562,72394.33155149674,120635.69356104569,,162912.99778473994,84947.80375463051,95656.81999211793,86489.91610313299,146541.1470292616,,80690.29223815862,104998.0359883668,113099.30060037992,89199.14449736771,104174.22589531359
2000-06-01,124756.7658336836,194197.7438082665,108244.11979917553,155084.14378029582,171402.72345855608,111452.59868328455,115262.25846890575,197862.90555655284,136552.83391653065,175238.3226023348,180839.21452533035,126935.2857702638,169120.48782211848,153561.0324750572,196164.81909699144,133871.1745289216,170474.08941166755,124912.91871155676,,126703.64531204826,104493.32739574781,151879.97214305642,98317.3506977427,113531.29624270073,128436.25654465915,115970.46687146032,109156.42055389534,150906.41046166708,,133248.55006057,137669.14897389294,107225.13235179624,99034.86354662028,117931.04388678113,87437.48547320631,85381.36244862672,94724.90394276289,72585.76873159235,121017.87133587671,,163789.05490496103,85235.54358384029,96197.94199812626,86742.72950973692,147347.5598478557,,81046.28853904521,104876.77276075406,113176.84969975876,89582.1875926573,104706.83566683077
2000-07-01,125474.095823462,196630.6776885488,108869.24110598413,156200.34820907595,172716.35492034839,111521.89776410081,116120.7589313159,199943.2865197584,137212.57898572608,176142.2130807099,182708.47615310407,127671.05075279898,170950.515395695,154037.3817122185,197303.3707790528,135144.26472119938,171918.76300521786,125708.49086632684,,127963.7916960646,104886.12457089282,152649.70123126396,98761.39850969559,113991.06292637343,128934.34501842906,116599.11066095727,109430.80629908282,151338.11545000653,,134091.27958346347,138096.51921395128,108002.99132040482,99354.27169484067,118513.09334999924,87693.42793529702,85773.74401038996,95190.40275388234,72837.33677780315,121395.81333521212,,164768.18081522905,85559.96252094483,96786.2424573367,87071.58370760844,148168.05144916274,,81414.92480836932,104792.20932407568,113266.66958546122,89971.18255543378,105233.3494881869
2000-08-01,126319.99812805177,199170.7891320478,109505.89510411302,157177.3955491353,174312.6039287439,111726.91167578998,116987.34918972196,202503.4125692655,137846.31822405173,176977.4118658721,184737.64448147998,128718.32414685219,172524.6621451597,154496.31927024663,198620.7998502485,136635.71300208135,172513.82401432752,126549.46070439258,,129689.64927292144,105196.70778688171,153364.01045445315,99185.29022632875,114497.19270502611,129404.04961376323,117249.04546694492,109714.00308988964,151799.21730616115,,134935.72035434746,138297.52769929636,108812.221081502,99642.92091793072,119156.39332054894,87984.60157426116,86147.45854844846,95664.87555171305,73166.40655297755,121777.52208541452,,165952.71981903116,85931.08855889092,97420.61686628118,87428.69002582786,148966.4531403993,,81758.08872829434,104636.83452891475,113481.62646711367,90303.83024033566,105745.08540697629
2000-09-01,127244.41838846674,201716.79522752855,110165.79150080506,158045.59593852973,176077.73074543467,111995.75714822476,117815.63162414478,205380.18969660543,138547.22968224078,177737.6442487234,186867.79147239693,129949.93614408204,173707.0859266473,155048.66781067828,199923.0291298423,138238.0237473496,173034.1227437473,127408.9793165328,,131473.83329529618,105550.43069047881,154094.04802974142,99617.19615967311,115019.70297836846,129862.50077395762,117967.57003569316,110052.35586836643,152186.94446529736,,135976.1698083894,138480.8925094294,109654.35313734371,99952.54928259122,119800.79800887506,88313.93266144536,86480.36999808671,96035.63926190701,73461.06509411521,122097.06625580677,,167199.92773122902,86343.00607568455,98059.34730585117,87763.19055795977,149703.4539903494,,82070.03076928835,104853.29400637101,113744.19711805503,90650.81940081656,106247.90047803473
2000-10-01,128119.0699973463,204131.23507186142,110839.44274140887,158976.19253431322,177862.5981040543,112283.83023979503,118589.2132654246,208419.08084518745,139222.57108478676,178399.62716448688,188983.55894979523,131371.4408536153,174008.33563444176,155669.64941150966,201286.25181535434,140081.61390804997,173473.5986306808,128302.30649571399,,133299.78534892082,105969.31194949664,154864.4518758376,100031.40981097677,115534.00446006586,130347.18442836439,118832.24837666242,110380.0438626572,152576.4146125163,,137019.0416407039,138422.10486451793,110450.52512284747,100307.83298612414,120431.76446607198,88644.7801485745,86942.26893733583,96489.54948928945,73800.91314919952,122405.61693819206,,168564.80110368363,86727.82920717337,98738.3540362122,88105.17438182772,150361.5968026114,,82348.81217431097,105095.90954655292,114019.9035563412,91078.47435688891,106733.62754497961
